country_or_region,date,variable,generation_twh
Romania,01-10-18,Clean,2.85
Romania,01-10-18,Coal,1.28
Romania,01-10-18,Fossil,2.3
Romania,01-10-18,Gas,1.02
Romania,01-10-18,Hydro,1.09
Romania,01-10-18,Nuclear,1.02
Romania,01-10-18,Solar,0.12
Romania,01-10-18,Wind,0.59
Romania,01-10-18,Wind and solar,0.71
Romania,01-11-18,Bioenergy,0.04
Romania,01-11-18,Clean,2.68
Romania,01-11-18,Coal,1.42
Romania,01-11-18,Fossil,2.64
Romania,01-11-18,Gas,1.22
Romania,01-11-18,Hydro,1.02
Romania,01-11-18,Nuclear,0.99
Romania,01-11-18,Solar,0.05
Romania,01-11-18,Wind,0.58
Romania,01-11-18,Wind and solar,0.63
Romania,01-12-18,Bioenergy,0.04
Romania,01-12-18,Clean,2.71
Romania,01-12-18,Coal,1.46
Romania,01-12-18,Fossil,2.84
Romania,01-12-18,Gas,1.38
Romania,01-12-18,Hydro,1
Romania,01-12-18,Nuclear,1.03
Romania,01-12-18,Solar,0.03
Romania,01-12-18,Wind,0.61
Romania,01-12-18,Wind and solar,0.64
Romania,01-01-19,Bioenergy,0.04
Romania,01-01-19,Clean,2.89
Romania,01-01-19,Coal,1.3
Romania,01-01-19,Fossil,2.6
Romania,01-01-19,Gas,1.3
Romania,01-01-19,Hydro,0.99
Romania,01-01-19,Nuclear,1.03
Romania,01-01-19,Solar,0.04
Romania,01-01-19,Wind,0.79
Romania,01-01-19,Wind and solar,0.83
Romania,01-02-19,Bioenergy,0.04
Romania,01-02-19,Clean,2.84
Romania,01-02-19,Coal,1.17
Romania,01-02-19,Fossil,2.29
Romania,01-02-19,Gas,1.12
Romania,01-02-19,Hydro,1.14
Romania,01-02-19,Nuclear,0.93
Romania,01-02-19,Solar,0.08
Romania,01-02-19,Wind,0.65
Romania,01-02-19,Wind and solar,0.73
Romania,01-03-19,Bioenergy,0.04
Romania,01-03-19,Clean,3.19
Romania,01-03-19,Coal,1.21
Romania,01-03-19,Fossil,2.03
Romania,01-03-19,Gas,0.82
Romania,01-03-19,Hydro,1.33
Romania,01-03-19,Nuclear,1.03
Romania,01-03-19,Solar,0.14
Romania,01-03-19,Wind,0.65
Romania,01-03-19,Wind and solar,0.79
Romania,01-04-19,Bioenergy,0.03
Romania,01-04-19,Clean,3.19
Romania,01-04-19,Coal,1.19
Romania,01-04-19,Fossil,1.63
Romania,01-04-19,Gas,0.44
Romania,01-04-19,Hydro,1.41
Romania,01-04-19,Nuclear,0.99
Romania,01-04-19,Solar,0.13
Romania,01-04-19,Wind,0.63
Romania,01-04-19,Wind and solar,0.76
Romania,01-05-19,Bioenergy,0.03
Romania,01-05-19,Clean,3.57
Romania,01-05-19,Coal,1.08
Romania,01-05-19,Fossil,1.43
Romania,01-05-19,Gas,0.35
Romania,01-05-19,Hydro,2.32
Romania,01-05-19,Nuclear,0.54
Romania,01-05-19,Solar,0.14
Romania,01-05-19,Wind,0.54
Romania,01-05-19,Wind and solar,0.68
Romania,01-06-19,Bioenergy,0.02
Romania,01-06-19,Clean,3.78
Romania,01-06-19,Coal,1.01
Romania,01-06-19,Fossil,1.31
Romania,01-06-19,Gas,0.3
Romania,01-06-19,Hydro,2.38
Romania,01-06-19,Nuclear,0.86
Romania,01-06-19,Solar,0.16
Romania,01-06-19,Wind,0.36
Romania,01-06-19,Wind and solar,0.52
Romania,01-07-19,Bioenergy,0.03
Romania,01-07-19,Clean,2.89
Romania,01-07-19,Coal,1.2
